Category,Value,Department,Staff Count
Admissions,"Your Bright Future Starts with   DSVV          D Hr Min Sec   					Admissions Closed for Session 2024-25				            Please Note“We do not provide coaching classes for DSVV entrance exams. Furthermore, we are not affiliated with, nor have we authorized any institute or organization such as RG Studio for this purpose.”                          Experience DSVV  Program Structure  Student's Life(New Student)  NEP 2020   Frequently Asked Questions  Prospectus 2024  Admissions closed                                                                                  Important Dates                                                                                                      Important Documents                                                                                                      Suggested Books &  Sample Paper                                                                                                      Exam Centers                                                                                                      Admission Process                                                                                                      Instructions to Fill the Form                                                                                                      Application Form                                                             Admissions Timeline      March 18, 2024 Application opens   June 24, 2024 Deadline for submitting applications   June 28, 2024 Deadline for submitting applications(with late fees of Rs. 100/- per day)   june 30, 2024 Written Entrance Examination   July 05, 2024 Declaration of Written Entrance Examination   July 08-09, 2024 Interviews: Graduation Courses(Present on any one day)   July 10-11, 2024 Interviews: Post graduation & Diploma Courses(Present on any one day)   July 12, 2024 Announcement of Interview Result   July 13-17, 2024 offline Admission Process   July 18-20, 2024 Admission Process of Selected Candidates from Waiting List   July 22, 2024 Gyan Deeksha   July 23-25, 2024 Deadline for accepting admissions offer   July 26, 2024 Start of Academic Session for New Batch           Important Documents for Admission Make sure to gather and submit the following documents for your admission application:  High School Marksheet: 10th Class Marksheet Senior Secondary Marksheet: 12th Class Marksheet. Graduation Marksheet:Graduation Marksheet (if applying for master’s Program). Extra- curricular Certificates: NSS, NCC, Scout & Guide, BSGP or any other Sports Certificate. Caste Certificate: Caste Certificate (if applicable other than general) Photo Identification Document:Any One of the list: 1. Voter ID 2. Aadhaar Card 3. Passport Size Photgraph: Passport Photograpgh Specifications –                                   1. Size of photo: 2 x 2 inch, 35 x 45 mm or 35 x 35 mm (5 x 5 cm, 3.5 x 4.5 cm, 3.5 x 3.5 cm).2. Color of background: white or off-white (preferably). 3. Candidate has to look towards the camera. Tilted head is not allowed. 4. Profile or three quarter photo is not allowed. 5. Recency: Taken in the last 6 months. 6. Smile: No smile. Only neutral expression. 7. Eyes: Open and looking directly at camera. 8. Glasses: Only prescription glasses are permitted. 9. File size: 10KB to 300KB.   10. Attire, clothing,   dress code: Casual or professional preferred. 11. Beard: Optional.  Additional Required Documents: Any other documents specified by the institution, such as portfolio samples for art programs or language proficiency test scores for international students.      1. General Knowledge & Learning2. English 3. Mission Related:a. My Life- Its Legacy and Message  हिंदी में पढ़ेंRead in EnglishBuy Onlineb. Vedmoorti Taponisth Pt. Shri Ram Sharma Acharya: Akhil Vishwa Gayatri Parivar ke Sansthapak va SanrakshakRead OnlineBuy Onlinec. Brahmavarchas Shodh Sansthan: Prayojan aur Prayasहिंदी में पढ़ेंBuy Onlined. Hamare Pramukh SansthanBuy Onlinee. Swantantrata Senani Hamare Gurudev Buy Onlinef. Shantikunj aur uski UplabdhiyanBuy Onlineg. Admission Books Kit(mission related)Buy OnlineSample PapersUG Sample PaperPG Sample Paper                                        Exam Centers    Exam Center Address   Haridwar(HW) Dev Sanskriti Vishwavidyalaya,Gayatrikunj,Shantikunj Haridwar, Uttarakhand 249411   Noida(NO) Gayatri Chetna Kendra, Q-2,Sector-12, Noida, Uttara Pradesh 201301   lucknow(LK) Gayatri Shaktipeeth and Sriram samagra Swasthya Prabandhan Sansthan, Rampur, Deorai, Bakhshi ka talab, Lucknow – 226201   Patna(PT) Gayatri Shaktipeeth, Kankarbagh Patna, Bihar 800020   Kolkata(KO) Gayatri Chetna Kendra, Ramchandrapur, Narendrapur, Near Ram Krishna Mission, Kolkata, West Bengal 700103   Rajnandgaon(RJ) Gayatri Vidyapeeth, kesar Nagar Rajnandgaon, Chhattishgarh 491441   Bhopal(BP) Gayatri Shaktipeeth, Maharana Pratap Nagar Bhopal, Madhya Pradesh 462011   Nagpur(NP) Gayatri Shaktipeeth, Sant Jagnade Chowk Nagpur, Maharashtra 440024    Note:  All Interviews will be conducted offline. The University holds the right to cancel the application form of a candidate at any stage without any prior notice to the candidate. If the number of candidates appearing in a center is less than 25, then examination in that center may be cancelled. DSVV, Haridwar is the only examination center for B.Ed. and Certificates Entrance Examination.                                 Step 1: Fill the Application Form Complete the online application form with your personal and academic information.   Step 2: Submission of the Form Submit any required documents and other information needed.   Step 3:Application under Review Your application will be reviewed by the admissions committee.   Step 4: Written Test The written test will be conducted at the declared date at the exam center allotted in case of offline or online to the applicant which will be mentioned in your admit card.   Step 5: Interview The interview round will be conducted at Dev Sanskriti Vishwavidyalaya, Haridwar for candidates who are selected in the written entrance examination. Applicants are required to bring all their documents for verification in original.   Step 6: Documents Verification and submission Process Submission of the required documents along with the maintenance fee of the first semester. The payment of maintenance fee can be made through Online mode by the link provided on the university website.   Note:  1. B. Ed. applicants are eligible to apply for one additional program by filling a separate application form and paying the form fee. 2. Application Form Fees is Non- Refundable.                                        Application Form Instructions Follow these instructions carefully to complete the application form:  Program Selection: Choose the program or major you are applying for from the list provided. Personal Information: Provide accurate personal details including your full name, date of birth, contact information, and mailing address. Educational Background: Enter information about your educational history, including schools attended, degrees earned, and dates of attendance. Supporting Documents: Upload any required supporting documents such as NSS, NCC, Scout& Guide, BSGP and Any other Sports Document. /li> Review and Submit: Carefully review all entered information before submitting the application. Once submitted, you may not be able to make changes. Payment: There is an application fee, proceed to the payment section and complete the payment process. Confirmation: After submitting the application, you will receive a confirmation email with further instructions regarding the admission process timeline and next steps. Center & Program Change: You can change center and program once you submit the form and form fees by paying Rs. 200/- for each                                Admissions Closed for the Session 2024-25.Application Form Fees is Non Refundable.",,
Admissions,━   Department of Indian History and Culture,,
Admissions,Center & Program Change: You can change center and program once you submit the form and form fees by paying Rs. 200/- for each,,
Admissions,Follow Us,,
Admissions,━  Department of Hindi,,
Admissions,━   Department of Indian History and Culture━  Department of Indian Classical Music,,
Admissions,Faculty of Biological Sciences  ━   Department of Environmental Sciences━  Department of Medicinal & Aromatic Plants Sciences,,
Admissions,D Hr Min Sec,,
Admissions,Evaluation System,,
Admissions,"Confirmation: After submitting the application, you will receive a confirmation email with further instructions regarding the admission process timeline and next steps.",,
Admissions,Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi,,
Admissions,g. Admission Books Kit(mission related),,
Admissions,News & Notices Quick Links,,
Admissions,"School of Humanities, Social Sciences and Foundation Courses  ━  Faculty of Humanities & Social Sciences━  Faculty of Foundation Courses",,
Admissions,Student Services             – Library– Academic calendar– Syllabus– Training & Placement– Internship– Yugrishi Student Portal– Club Registration– INTERNSHIP @DSVV,,
Admissions,CAMPUS / WORKSHOPS / SEMINARS,,
Admissions,━   Department of Psychology,,
Admissions,PhD Notifications,,
Admissions,UG Sample Paper,,
Admissions,"June 24, 2024 Deadline for submitting applications",,
Admissions,"DSVV, Haridwar is the only examination center for B.Ed. and Certificates Entrance Examination.",,
Admissions,X,,
Admissions,1. General Knowledge & Learning2. English 3. Mission Related:a. My Life- Its Legacy and Message  हिंदी में पढ़ेंRead in EnglishBuy Onlineb. Vedmoorti Taponisth Pt. Shri Ram Sharma Acharya: Akhil Vishwa Gayatri Parivar ke Sansthapak va SanrakshakRead OnlineBuy Onlinec. Brahmavarchas Shodh Sansthan: Prayojan aur Prayasहिंदी में पढ़ेंBuy Onlined. Hamare Pramukh SansthanBuy Onlinee. Swantantrata Senani Hamare Gurudev Buy Onlinef. Shantikunj aur uski UplabdhiyanBuy Onlineg. Admission Books Kit(mission related)Buy Online,,
Admissions,For PhD Admissions,,
Admissions,━  Faculty of Yoga & Health,,
Admissions,Study in India,,
Admissions,National Academic Depository (NAD),,
Admissions,– Library– Academic calendar– Syllabus– Training & Placement– Internship– Yugrishi Student Portal– Club Registration– INTERNSHIP @DSVV,,
Admissions,Connect with Us,,
Admissions,Deadline for submitting applications,,
Admissions,a. My Life- Its Legacy and Message,,
Admissions,Faculty of Music and Indian Culture,,
Admissions,"Faculty of Foundation Courses  ━   Department of Life Management━ Department of Oriental Studies, Religious Studies and Philosophy━   Department of Scientific Spirituality",,
Admissions,Application Form,,
Admissions,The University holds the right to cancel the application form of a candidate at any stage without any prior notice to the candidate.,,
Admissions,For Indian Candidates           Experience DSVV    Program Structure    How To Apply?   Student Life (New Student)   Frequently Asked Questions (FAQ's)   Advertising Media         For International Candidates         International    Apply Now    Study in India         For PhD Admissions         PhD Notifications    Apply Now,,
Admissions,Please Note,,
Admissions,About Us,,
Admissions,Your Bright Future Starts with   DSVV,,
Admissions,– Syllabus,,
Admissions,"July 12, 2024 Announcement of Interview Result",,
Admissions,1. General Knowledge & Learning2. English 3. Mission Related:a. My Life- Its Legacy and Message  हिंदी में पढ़ेंRead in EnglishBuy Onlineb. Vedmoorti Taponisth Pt. Shri Ram Sharma Acharya: Akhil Vishwa Gayatri Parivar ke Sansthapak va SanrakshakRead OnlineBuy Onlinec. Brahmavarchas Shodh Sansthan: Prayojan aur Prayasहिंदी में पढ़ेंBuy Onlined. Hamare Pramukh SansthanBuy Onlinee. Swantantrata Senani Hamare Gurudev Buy Onlinef. Shantikunj aur uski UplabdhiyanBuy Onlineg. Admission Books Kit(mission related),,
Admissions,"July 18-20, 2024 Admission Process of Selected Candidates from Waiting List",,
Admissions,International,,
Admissions,– Training & Placement,,
Admissions,Interviews: Graduation Courses(Present on any one day),,
Admissions,D Hr Min Sec   					Admissions Closed for Session 2024-25,,
Admissions,Faculty of Indian Languages,,
Admissions,"Library     Training & Placement     Internship     Dean Of Schools     Research Papers     Academic Calendar     Evaluation System     Faculty Development Program     Schools, Faculties & Departments     Internal Quality Assurance Cell (IQAC)     Syllabus",,
Admissions,"Exam Centers    Exam Center Address   Haridwar(HW) Dev Sanskriti Vishwavidyalaya,Gayatrikunj,Shantikunj Haridwar, Uttarakhand 249411   Noida(NO) Gayatri Chetna Kendra, Q-2,Sector-12, Noida, Uttara Pradesh 201301   lucknow(LK) Gayatri Shaktipeeth and Sriram samagra Swasthya Prabandhan Sansthan, Rampur, Deorai, Bakhshi ka talab, Lucknow – 226201   Patna(PT) Gayatri Shaktipeeth, Kankarbagh Patna, Bihar 800020   Kolkata(KO) Gayatri Chetna Kendra, Ramchandrapur, Narendrapur, Near Ram Krishna Mission, Kolkata, West Bengal 700103   Rajnandgaon(RJ) Gayatri Vidyapeeth, kesar Nagar Rajnandgaon, Chhattishgarh 491441   Bhopal(BP) Gayatri Shaktipeeth, Maharana Pratap Nagar Bhopal, Madhya Pradesh 462011   Nagpur(NP) Gayatri Shaktipeeth, Sant Jagnade Chowk Nagpur, Maharashtra 440024    Note:  All Interviews will be conducted offline. The University holds the right to cancel the application form of a candidate at any stage without any prior notice to the candidate. If the number of candidates appearing in a center is less than 25, then examination in that center may be cancelled. DSVV, Haridwar is the only examination center for B.Ed. and Certificates Entrance Examination.",,
Admissions,"July 05, 2024 Declaration of Written Entrance Examination",,
Admissions,Students Corner         Student Services             – Library– Academic calendar– Syllabus– Training & Placement– Internship– Yugrishi Student Portal– Club Registration– INTERNSHIP @DSVV                Exam Cell            – Evaluation System– Exam Results– Exam Schedule– Back Exam Schedule             – Library     – Academic calendar     – Syllabus     – Training & Placement     – Internship     – Yugrishi Student Portal     – Club Registration     – INTERNSHIP @DSVV,,
Admissions,━  Faculty of Communication,,
Admissions,"Passport Size Photgraph: Passport Photograpgh Specifications –                                   1. Size of photo: 2 x 2 inch, 35 x 45 mm or 35 x 35 mm (5 x 5 cm, 3.5 x 4.5 cm, 3.5 x 3.5 cm).2. Color of background: white or off-white (preferably). 3. Candidate has to look towards the camera. Tilted head is not allowed. 4. Profile or three quarter photo is not allowed. 5. Recency: Taken in the last 6 months. 6. Smile: No smile. Only neutral expression. 7. Eyes: Open and looking directly at camera. 8. Glasses: Only prescription glasses are permitted. 9. File size: 10KB to 300KB.   10. Attire, clothing,   dress code: Casual or professional preferred. 11. Beard: Optional.",,
Admissions,"Important Dates                                                                                                      Important Documents                                                                                                      Suggested Books &  Sample Paper                                                                                                      Exam Centers                                                                                                      Admission Process                                                                                                      Instructions to Fill the Form                                                                                                      Application Form                                                             Admissions Timeline      March 18, 2024 Application opens   June 24, 2024 Deadline for submitting applications   June 28, 2024 Deadline for submitting applications(with late fees of Rs. 100/- per day)   june 30, 2024 Written Entrance Examination   July 05, 2024 Declaration of Written Entrance Examination   July 08-09, 2024 Interviews: Graduation Courses(Present on any one day)   July 10-11, 2024 Interviews: Post graduation & Diploma Courses(Present on any one day)   July 12, 2024 Announcement of Interview Result   July 13-17, 2024 offline Admission Process   July 18-20, 2024 Admission Process of Selected Candidates from Waiting List   July 22, 2024 Gyan Deeksha   July 23-25, 2024 Deadline for accepting admissions offer   July 26, 2024 Start of Academic Session for New Batch           Important Documents for Admission Make sure to gather and submit the following documents for your admission application:  High School Marksheet: 10th Class Marksheet Senior Secondary Marksheet: 12th Class Marksheet. Graduation Marksheet:Graduation Marksheet (if applying for master’s Program). Extra- curricular Certificates: NSS, NCC, Scout & Guide, BSGP or any other Sports Certificate. Caste Certificate: Caste Certificate (if applicable other than general) Photo Identification Document:Any One of the list: 1. Voter ID 2. Aadhaar Card 3. Passport Size Photgraph: Passport Photograpgh Specifications –                                   1. Size of photo: 2 x 2 inch, 35 x 45 mm or 35 x 35 mm (5 x 5 cm, 3.5 x 4.5 cm, 3.5 x 3.5 cm).2. Color of background: white or off-white (preferably). 3. Candidate has to look towards the camera. Tilted head is not allowed. 4. Profile or three quarter photo is not allowed. 5. Recency: Taken in the last 6 months. 6. Smile: No smile. Only neutral expression. 7. Eyes: Open and looking directly at camera. 8. Glasses: Only prescription glasses are permitted. 9. File size: 10KB to 300KB.   10. Attire, clothing,   dress code: Casual or professional preferred. 11. Beard: Optional.  Additional Required Documents: Any other documents specified by the institution, such as portfolio samples for art programs or language proficiency test scores for international students.      1. General Knowledge & Learning2. English 3. Mission Related:a. My Life- Its Legacy and Message  हिंदी में पढ़ेंRead in EnglishBuy Onlineb. Vedmoorti Taponisth Pt. Shri Ram Sharma Acharya: Akhil Vishwa Gayatri Parivar ke Sansthapak va SanrakshakRead OnlineBuy Onlinec. Brahmavarchas Shodh Sansthan: Prayojan aur Prayasहिंदी में पढ़ेंBuy Onlined. Hamare Pramukh SansthanBuy Onlinee. Swantantrata Senani Hamare Gurudev Buy Onlinef. Shantikunj aur uski UplabdhiyanBuy Onlineg. Admission Books Kit(mission related)Buy OnlineSample PapersUG Sample PaperPG Sample Paper                                        Exam Centers    Exam Center Address   Haridwar(HW) Dev Sanskriti Vishwavidyalaya,Gayatrikunj,Shantikunj Haridwar, Uttarakhand 249411   Noida(NO) Gayatri Chetna Kendra, Q-2,Sector-12, Noida, Uttara Pradesh 201301   lucknow(LK) Gayatri Shaktipeeth and Sriram samagra Swasthya Prabandhan Sansthan, Rampur, Deorai, Bakhshi ka talab, Lucknow – 226201   Patna(PT) Gayatri Shaktipeeth, Kankarbagh Patna, Bihar 800020   Kolkata(KO) Gayatri Chetna Kendra, Ramchandrapur, Narendrapur, Near Ram Krishna Mission, Kolkata, West Bengal 700103   Rajnandgaon(RJ) Gayatri Vidyapeeth, kesar Nagar Rajnandgaon, Chhattishgarh 491441   Bhopal(BP) Gayatri Shaktipeeth, Maharana Pratap Nagar Bhopal, Madhya Pradesh 462011   Nagpur(NP) Gayatri Shaktipeeth, Sant Jagnade Chowk Nagpur, Maharashtra 440024    Note:  All Interviews will be conducted offline. The University holds the right to cancel the application form of a candidate at any stage without any prior notice to the candidate. If the number of candidates appearing in a center is less than 25, then examination in that center may be cancelled. DSVV, Haridwar is the only examination center for B.Ed. and Certificates Entrance Examination.                                 Step 1: Fill the Application Form Complete the online application form with your personal and academic information.   Step 2: Submission of the Form Submit any required documents and other information needed.   Step 3:Application under Review Your application will be reviewed by the admissions committee.   Step 4: Written Test The written test will be conducted at the declared date at the exam center allotted in case of offline or online to the applicant which will be mentioned in your admit card.   Step 5: Interview The interview round will be conducted at Dev Sanskriti Vishwavidyalaya, Haridwar for candidates who are selected in the written entrance examination. Applicants are required to bring all their documents for verification in original.   Step 6: Documents Verification and submission Process Submission of the required documents along with the maintenance fee of the first semester. The payment of maintenance fee can be made through Online mode by the link provided on the university website.   Note:  1. B. Ed. applicants are eligible to apply for one additional program by filling a separate application form and paying the form fee. 2. Application Form Fees is Non- Refundable.                                        Application Form Instructions Follow these instructions carefully to complete the application form:  Program Selection: Choose the program or major you are applying for from the list provided. Personal Information: Provide accurate personal details including your full name, date of birth, contact information, and mailing address. Educational Background: Enter information about your educational history, including schools attended, degrees earned, and dates of attendance. Supporting Documents: Upload any required supporting documents such as NSS, NCC, Scout& Guide, BSGP and Any other Sports Document. /li> Review and Submit: Carefully review all entered information before submitting the application. Once submitted, you may not be able to make changes. Payment: There is an application fee, proceed to the payment section and complete the payment process. Confirmation: After submitting the application, you will receive a confirmation email with further instructions regarding the admission process timeline and next steps. Center & Program Change: You can change center and program once you submit the form and form fees by paying Rs. 200/- for each                                Admissions Closed for the Session 2024-25.Application Form Fees is Non Refundable.",,
Admissions,Internal Quality Assurance Cell (IQAC),,
Admissions,Min,,
Admissions,"June 28, 2024 Deadline for submitting applications(with late fees of Rs. 100/- per day)",,
Admissions,3. Mission Related:a. My Life- Its Legacy and Message  हिंदी में पढ़ेंRead in EnglishBuy Onlineb. Vedmoorti Taponisth Pt. Shri Ram Sharma Acharya: Akhil Vishwa Gayatri Parivar ke Sansthapak va SanrakshakRead OnlineBuy Onlinec. Brahmavarchas Shodh Sansthan: Prayojan aur Prayas,,
Admissions,NAAC SSR,,
Admissions,Faculty of Yoga and Health  ━  Department of Yogic Science and Human Consciousness ━  Department of Complimentary and Alternative Medicines━  Department of Ayurveda & Holistic Health        Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi        Faculty of Music and Indian Culture  ━   Department of Indian History and Culture━  Department of Indian Classical Music,,
Admissions,For International Candidates,,
Admissions,NEWS,,
Admissions,"“We do not provide coaching classes for DSVV entrance exams. Furthermore, we are not affiliated with, nor have we authorized any institute or organization such as RG Studio for this purpose.”",,
Admissions,"CONTACT INFORMATION             DSVV Publications               Menu   Blogs Downloads NEWS       CAREERS  / JOB VACANCIES     Follow Us        Youtube      Facebook-f      X-twitter      Instagram                                            DEV SANSKRITI VISHWAVIDYALAYAGayatrikunj – Shantikunj, Haridwar- 249411 Uttarakhand, INDIA.      Timings:  10:00 AM to 05:00 PM (Mon. to Sat.)General Enquiry : +91-9720107192General Email  : info@dsvv.ac.inAdmissions  Enquiry : +91-9258369877,+91-9258369612Admissions Email : admissions@dsvv.ac.in",,
Admissions,"Payment: There is an application fee, proceed to the payment section and complete the payment process.",,
Admissions,Unnat Bharat Abhiyan - UBA,,
Admissions,Faculty of Communication  ━   Department of Journalism And Mass Communication━   Department of Animation And Visual Effects,,
Admissions,Deadline for accepting admissions offer,,
Admissions,"July 22, 2024 Gyan Deeksha",,
Admissions,LIST OF SCHOOLS,,
Admissions,"Review and Submit: Carefully review all entered information before submitting the application. Once submitted, you may not be able to make changes.",,
Admissions,"DEV SANSKRITI VISHWAVIDYALAYAGayatrikunj – Shantikunj, Haridwar- 249411 Uttarakhand, INDIA.",,
Admissions,Exam Centers,,
Admissions,"Department of Career Support, Guidance and Progression (CSGP)",,
Admissions,Important Documents,,
Admissions,ALUMNI,,
Admissions,"Step 1: Fill the Application Form Complete the online application form with your personal and academic information.   Step 2: Submission of the Form Submit any required documents and other information needed.   Step 3:Application under Review Your application will be reviewed by the admissions committee.   Step 4: Written Test The written test will be conducted at the declared date at the exam center allotted in case of offline or online to the applicant which will be mentioned in your admit card.   Step 5: Interview The interview round will be conducted at Dev Sanskriti Vishwavidyalaya, Haridwar for candidates who are selected in the written entrance examination. Applicants are required to bring all their documents for verification in original.   Step 6: Documents Verification and submission Process Submission of the required documents along with the maintenance fee of the first semester. The payment of maintenance fee can be made through Online mode by the link provided on the university website.   Note:  1. B. Ed. applicants are eligible to apply for one additional program by filling a separate application form and paying the form fee. 2. Application Form Fees is Non- Refundable.",,
Admissions,━   Department of Environmental Sciences,,
Admissions,CAMPUS NEWS,,
Admissions,Announcement of Interview Result,,
Admissions,━   Department of Mathematics,,
Admissions,"Exam Center Address   Haridwar(HW) Dev Sanskriti Vishwavidyalaya,Gayatrikunj,Shantikunj Haridwar, Uttarakhand 249411   Noida(NO) Gayatri Chetna Kendra, Q-2,Sector-12, Noida, Uttara Pradesh 201301   lucknow(LK) Gayatri Shaktipeeth and Sriram samagra Swasthya Prabandhan Sansthan, Rampur, Deorai, Bakhshi ka talab, Lucknow – 226201   Patna(PT) Gayatri Shaktipeeth, Kankarbagh Patna, Bihar 800020   Kolkata(KO) Gayatri Chetna Kendra, Ramchandrapur, Narendrapur, Near Ram Krishna Mission, Kolkata, West Bengal 700103   Rajnandgaon(RJ) Gayatri Vidyapeeth, kesar Nagar Rajnandgaon, Chhattishgarh 491441   Bhopal(BP) Gayatri Shaktipeeth, Maharana Pratap Nagar Bhopal, Madhya Pradesh 462011   Nagpur(NP) Gayatri Shaktipeeth, Sant Jagnade Chowk Nagpur, Maharashtra 440024",,
Admissions,━  Faculty of Biological Sciences,,
Admissions,– Academic calendar,,
Admissions,Admissions Closed for the Session 2024-25.,,
Admissions,PATRON FOUNDER,,
Admissions,NAAC            NAAC Cycle 2         NAAC SSR 2024         IQAC CELL         AQAR,,
Admissions,Training & Placement,,
Admissions,Admission Process,,
Admissions,For Indian Candidates         Experience DSVV         Program Structure         How To Apply?         Student Life (New Student)         Frequently Asked Questions (FAQ’s)         Advertising Media             For International Candidates         International         Apply Now         Study In India             For PhD Admissions         PhD Notifications         Apply Now,,
Admissions,a. My Life- Its Legacy and Message  हिंदी में पढ़ेंRead in EnglishBuy Onlineb. Vedmoorti Taponisth Pt. Shri Ram Sharma Acharya: Akhil Vishwa Gayatri Parivar ke Sansthapak va SanrakshakRead OnlineBuy Online,,
Admissions,━  Faculty of Humanities & Social Sciences,,
Admissions,"Faculty of Yoga and Health  ━  Department of Yogic Science and Human Consciousness ━  Department of Complimentary and Alternative Medicines━  Department of Ayurveda & Holistic Health        Faculty of Indian Languages  ━  Department of Vedic Studies and Sanskrit━  Department of Hindi        Faculty of Music and Indian Culture  ━   Department of Indian History and Culture━  Department of Indian Classical Music        Faculty of Technology and Management  ━   Department of Computer Science━   Department of Mathematics━   Department of Tourism Management        Faculty of Communication  ━   Department of Journalism And Mass Communication━   Department of Animation And Visual Effects        Faculty of Humanities And Social Sciences  ━   Department of English━   Department of Education━   Department of Psychology        Faculty of Foundation Courses  ━   Department of Life Management━ Department of Philosophy, Religious Studies and Divinity━   Department of Scientific Spirituality        Faculty of Biological Sciences  ━   Department of Environmental Sciences━  Department of Medicinal & Aromatic Plants Sciences        Faculty of Rural Studies and Sustainability  ━   Department of Rural Studies and Sustainability",,
Admissions,Exam Cell            – Evaluation System– Exam Results– Exam Schedule– Back Exam Schedule,,
Admissions,SPORTS     DOWNLOADS     CAMPUS NEWS     OFF CAMPUS NEWS     CAMPUS / WORKSHOPS / SEMINARS,,
Admissions,━   Department of Education,,
Admissions,Advertising Media,,
Admissions,Graduation Marksheet:Graduation Marksheet (if applying for master’s Program).,,
Admissions,"━   Department of Life Management━ Department of Philosophy, Religious Studies and Divinity━   Department of Scientific Spirituality",,
Admissions,For Indian Candidates         Experience DSVV         Program Structure         How To Apply?         Student Life (New Student)         Frequently Asked Questions (FAQ’s)         Advertising Media,,
Admissions,"There is need for an educational institution which could mould its students into noble and enlightened human beings: selfless, warm-hearted, compassionate and kind.   ~ Kulpita Pt. Shriram Sharma Acharya         News & Notices Quick Links                SPORTS     DOWNLOADS     CAMPUS NEWS     OFF CAMPUS NEWS     CAMPUS / WORKSHOPS / SEMINARS            Important Links                NEP 2020     NIRF 2024     NAD CELL     RESEARCH     NCTE OFFICIAL WEBSITE     ALUMNI    Unnat Bharat Abhiyan - UBA                    CONTACT INFORMATION             DSVV Publications               Menu   Blogs Downloads NEWS       CAREERS  / JOB VACANCIES     Follow Us        Youtube      Facebook-f      X-twitter      Instagram                                            DEV SANSKRITI VISHWAVIDYALAYAGayatrikunj – Shantikunj, Haridwar- 249411 Uttarakhand, INDIA.      Timings:  10:00 AM to 05:00 PM (Mon. to Sat.)General Enquiry : +91-9720107192General Email  : info@dsvv.ac.inAdmissions  Enquiry : +91-9258369877,+91-9258369612Admissions Email : admissions@dsvv.ac.in",,
Admissions,Students Corner,,
Admissions,Faculty of Humanities And Social Sciences,,
Admissions,"Timings:  10:00 AM to 05:00 PM (Mon. to Sat.)General Enquiry : +91-9720107192General Email  : info@dsvv.ac.inAdmissions  Enquiry : +91-9258369877,+91-9258369612Admissions Email : admissions@dsvv.ac.in",,
Admissions,Deadline for submitting applications(with late fees of Rs. 100/- per day),,
Admissions,Program Selection: Choose the program or major you are applying for from the list provided.,,
Admissions,Research Papers,,
Admissions,List of Schools,,
Admissions,International    Apply Now    Study in India,,
Admissions,D,,
Admissions,"July 26, 2024 Start of Academic Session for New Batch",,
Admissions,For International Candidates         International    Apply Now    Study in India,,
Admissions,━   Department of Rural Studies and Sustainability,,
Admissions,PhD Notifications    Apply Now,,
